year,CO2
1901,296.8
1902,297.04
1903,297.29
1904,297.57
1905,297.87
1906,298.17
1907,298.49
1908,298.82
1909,299.15
1910,299.49
1911,299.84
1912,300.2
1913,300.58
1914,300.97
1915,301.36
1916,301.76
1917,302.16
1918,302.55
1919,302.92
1920,303.28
1921,303.63
1922,303.97
1923,304.32
1924,304.66
1925,305.01
1926,305.37
1927,305.73
1928,306.1
1929,306.47
1930,306.84
1931,307.21
1932,307.58
1933,307.96
1934,308.32
1935,308.69
1936,309.04
1937,309.38
1938,309.7
1939,310.01
1940,310.27
1941,310.5
1942,310.68
1943,310.82
1944,310.93
1945,311.03
1946,311.12
1947,311.24
1948,311.36
1949,311.52
1950,311.71
1951,311.92
1952,312.16
1953,312.44
1954,312.75
1955,313.1
1956,313.48
1957,313.93
1958,314.69
1959,315.48
1960,316.38
1961,317.1
1962,317.89
1963,318.4
1964,319.01
1965,319.4
1966,320.72
1967,321.5
1968,322.35
1969,323.9
1970,324.94
1971,325.56
1972,326.67
1973,328.87
1974,329.36
1975,330.24
1976,331.13
1977,332.73
1978,334.58
1979,335.81
1980,337.8
1981,339.31
1982,340.54
1983,342.11
1984,343.63
1985,345.15
1986,346.43
1987,348.25
1988,350.45
1989,352.08
1990,353.27
1991,354.56
1992,355.5
1993,356.27
1994,357.78
1995,359.71
1996,361.4
1997,362.7
1998,365.44
1999,367.26
2000,368.42
2001,370.02
2002,372.15
2003,374.62
2004,376.33
2005,378.45
2006,380.51
2007,382.53
2008,384.42
2009,386.05
2010,388.23
2011,390.03
2012,392.13
2013,394.88
2014,396.97
2015,399.24
2016,402.52
2017,404.71
2018,406.94
2019,409.66
2020,412.11
