"","year","CAI","LAI","density","DBH","density12","DBH12","QMD","NPP","GPP","Rauto","Rh","rain","SoilWater","Transp","Evap","Runoff","plantC","soilC","plantN","soilN","totN","NSC","SeedC","leafC","rootC","SapwoodC","WoodC","NSN","SeedN","leafN","rootN","SapwoodN","WoodN","McrbC","fastSOM","SlowSOM","McrbN","fastSoilN","slowSoilN","mineralN","N_fxed","N_uptk","N_yrMin","N_P2S","N_loss","totseedC","totseedN","Seedling_C","Seedling_N","MaxAge","MaxVolume","MaxDBH","NPPL","NPPW","n_deadtrees","c_deadtrees","m_turnover","c_turnover_time","WDgrow","WDmort","WDrepr","WDkill"
"1",1,0.0150989601388574,0.0450182482600212,320,2.1313419342041,0,0,-0.00264954287558794,0.0239017680287361,0.0364247560501099,0.0125229898840189,0.00166772142983973,262665920,799.129028320312,0,354.615020751953,262665568,0.0386303327977657,0.0035335177090019,5.70328044891357,NA,NA,0.0185140781104565,0.000902142724953592,0.00384915340691805,0.00456862663850188,0.00804339163005352,0.00275294203311205,5.43355131149292,0.0451071597635746,0.0795593112707138,0.114215567708015,0.022981122136116,0.00786554906517267,0.000112863221147563,0.00283881253562868,0.000581841974053532,0.0112863220274448,NA,NA,200,0,5.02740144729614,-425.564117431641,0.124856375157833,NA,3.07332779195719e-38,-0.0505770444869995,3.07332779195719e-38,-0.0118137253448367,1.00000047683716,0.00266882358118892,0.0275406762957573,0.00453720381483436,0.00439633289352059,0,0,0,0.626190543174744,0.00439633289352059,-7.97143462349936e-11,3.07332779195719e-41,-9.70312637026753e-19
"2",2,0.0241506658494473,0.0596292465925217,664.789855957031,1.65830826759338,0,0,-0.00264954287558794,0.0416304431855679,0.0553150549530983,0.0136845959350467,0.00533312140032649,245922848,799.121276855469,0,318.913208007812,245922416,0.071473553776741,0.00698764435946941,6.99334669113159,NA,NA,0.0401929691433907,0.00188726535998285,0.00365849165245891,0.00593673344701529,0.01035519503057,0.00944289565086365,6.60654258728027,0.094363197684288,0.0874571055173874,0.148418307304382,0.029586274176836,0.0269796904176474,0.000282383232843131,0.00500722276046872,0.00169803877361119,0.0282383225858212,NA,NA,200,0,1.65580534934998,-413.886627197266,0.157897442579269,NA,0.72171413898468,0.0360857285559177,0.72171413898468,0.0360857285559177,1.99997925758362,0.00495220627635717,0.0352692566812038,0.00060687493532896,0.00937214586883783,0.00320673082023859,0.00449281930923462,0.00102714728564024,1.0075489282608,0.00937214586883783,2.31903254643839e-06,0,0
"3",3,0.0387098900973797,0.105736844241619,1114.21081542969,1.58110499382019,0,0,-0.00264954287558794,0.0591607429087162,0.0844527706503868,0.0252920258790255,0.00956325605511665,250191024,799.103698730469,0,347.218414306641,250190704,0.115523777902126,0.0125348875299096,9.5813684463501,NA,NA,0.0603692419826984,0.00395640730857849,0.0062476652674377,0.0107287084683776,0.020243102684617,0.0139786601066589,8.86546325683594,0.19782030582428,0.15209174156189,0.268217533826828,0.0578374415636063,0.039939034730196,0.000501243397593498,0.0087794866412878,0.00325415749102831,0.0501243397593498,NA,NA,200,0,3.32922506332397,-422.133911132812,0.257345646619797,NA,1.06898152828217,0.0534490272402763,1.06898152828217,0.0534490272402763,2.99995803833008,0.00924863573163748,0.0452816262841225,0.00361684919334948,0.0150761408731341,0.00978697929531336,0.00811652839183807,0.00162692065350711,0.927204132080078,0.0150761408731341,6.38030451227678e-06,0,0
"4",4,0.0658444911241531,0.196599617600441,2192.35815429688,1.41909527778625,0,0,-0.00264954287558794,0.106070376932621,0.150430500507355,0.0443601869046688,0.0176164098083973,247552352,799.223754882812,0,335.315246582031,247551936,0.193595036864281,0.0229174792766571,11.4642972946167,NA,NA,0.0990506857633591,0.00786654278635979,0.0104345101863146,0.0199473649263382,0.0376223474740982,0.0186735838651657,10.1434192657471,0.39332714676857,0.268021464347839,0.498683959245682,0.107492439448833,0.053353127092123,0.000917197845410556,0.0160847194492817,0.00591556262224913,0.0917197838425636,NA,NA,200,0,3.38151860237122,-425.083770751953,0.471545308828354,NA,2.50631594657898,0.125315770506859,2.50631594657898,0.125315770506859,3.99993681907654,0.016114067286253,0.0565425790846348,0.00586880370974541,0.0231547821313143,0.0185250602662563,0.013555197045207,0.00271832942962646,0.806467711925507,0.0231547821313143,1.49347852129722e-05,0,0
"5",5,0.107371628284454,0.33761528134346,4141.462890625,1.30993807315826,0,0,-0.00264954287558794,0.173034489154816,0.24491161108017,0.0718772038817406,0.0430900901556015,257427152,799.085815429688,0,318.905944824219,257426816,0.294179111719131,0.0522776655852795,27.1562786102295,NA,NA,0.14789816737175,0.0139830503612757,0.0165035482496023,0.0342540703713894,0.0581174716353416,0.0234228186309338,24.9252166748047,0.699152529239655,0.442585080862045,0.856351435184479,0.166049897670746,0.0669223517179489,0.00210839253850281,0.0333670452237129,0.0168022289872169,0.210839256644249,NA,NA,200,0,19.8592834472656,-419.909942626953,0.790796220302582,NA,4.74516296386719,0.237258166074753,4.74516296386719,0.237258166074753,5.00000238418579,0.00880749523639679,0.044404286891222,0.00928192306309938,0.0336697623133659,0.0390708670020103,0.0175341870635748,0.00303813233040273,0.695663332939148,0.0336697623133659,3.04982568195555e-05,0,0
"6",6,0.180458664894104,0.56748628616333,7324.44384765625,1.27625870704651,0,0,-0.00264954287558794,0.300203442573547,0.419247299432755,0.119043715298176,0.0728875622153282,265547712,799.057495117188,0,306.174926757812,265547440,0.486486554145813,0.0872860625386238,34.1309471130371,NA,NA,0.25115892291069,0.0291689541190863,0.0240825284272432,0.0575738549232483,0.091374471783638,0.0331277921795845,30.1792049407959,1.45844805240631,0.69822758436203,1.43934535980225,0.261069893836975,0.0946508496999741,0.00359856942668557,0.0559204593300819,0.0277670305222273,0.359856933355331,NA,NA,200,0,16.1352157592773,-420.783538818359,1.32391571998596,NA,8.22280311584473,0.411140203475952,8.22280311584473,0.411140233278275,6.00006818771362,0.0123929949477315,0.0509037300944328,0.0123232146725059,0.0503436997532845,0.0780613794922829,0.0285301748663187,0.00397266307845712,0.658032536506653,0.0503436997532845,5.84230438107625e-05,0,0
"7",7,0.325177520513535,1.01427471637726,14183.365234375,1.22069263458252,0,0,-0.00264954287558794,0.520118534564972,0.730380773544312,0.210262104868889,0.125422790646553,247765824,799.338684082031,0,276.864624023438,247765568,0.819260716438293,0.149208307266235,102.073783874512,NA,NA,0.426090955734253,0.0547422356903553,0.037964440882206,0.102898687124252,0.150321081280708,0.0472432933747768,95.0152359008789,2.73711228370667,1.18449568748474,2.5724663734436,0.429488748311996,0.134980857372284,0.00622863182798028,0.0978312268853188,0.0451484471559525,0.622863173484802,NA,NA,200,0,81.9600372314453,-418.5400390625,2.31383776664734,NA,18.7157535552979,0.935787796974182,18.7157535552979,0.935787856578827,7.00013399124146,0.01720355078578,0.0580393262207508,0.020795626565814,0.0843634083867073,0.141758501529694,0.0550228171050549,0.00755126634612679,0.55999743938446,0.0843634083867073,0.000101936369901523,0.000575147685594857,0
"8",8,0.580450415611267,1.80356240272522,27154.3046875,1.17496311664581,0,0,-0.00264954287558794,0.909709513187408,1.27816224098206,0.368452489376068,0.240003779530525,244307872,799.424194335938,0,258.360748291016,244307600,1.36845195293427,0.269722282886505,109.741737365723,NA,NA,0.717294991016388,0.0992176756262779,0.061475858092308,0.182967871427536,0.241235136985779,0.0662604793906212,97.2972106933594,4.96088457107544,2.03087711334229,4.57419633865356,0.689243376255035,0.189315631985664,0.011480781249702,0.17715859413147,0.0810829028487206,1.148078083992,NA,NA,200,0,42.5941543579102,-427.108337402344,4.02137184143066,NA,34.6238822937012,1.73119461536407,34.6238822937012,1.73119485378265,8.00019931793213,0.0232395529747009,0.0654579922556877,0.0351837910711765,0.136127308011055,0.267455250024796,0.106558322906494,0.0150849865749478,0.486753761768341,0.136127308011055,0.000173512235051021,0.00076899683335796,0
"9",9,1.04349911212921,3.24178647994995,50245.8515625,1.16307830810547,0,0,-0.00264954287558794,1.61301791667938,2.25845336914062,0.645435690879822,0.434549421072006,245569552,799.7236328125,0,206.245178222656,245569296,2.32379412651062,0.492848068475723,208.479843139648,NA,NA,1.22646939754486,0.181143462657928,0.102999046444893,0.328867435455322,0.392388254404068,0.0919266790151596,186.26057434082,9.05717182159424,3.55665421485901,8.22168159484863,1.12110924720764,0.262647569179535,0.0211460869759321,0.325161725282669,0.146540254354477,2.11460876464844,NA,NA,200,0,146.270706176758,-416.302703857422,7.1270432472229,NA,61.2513046264648,3.06256532669067,61.2513046264648,3.06256532669067,9.00026512145996,0.0306677687913179,0.0731377005577087,0.0609623417258263,0.226643472909927,0.511522173881531,0.196848288178444,0.0277613624930382,0.405600368976593,0.226643472909927,0.000282368622720242,0.000964989478234202,0
"10",10,1.93997180461884,6.04031753540039,92835.4375,1.17509305477142,0,0,-0.00264954287558794,3.07968401908875,4.26287984848022,1.18319714069366,0.774683117866516,251376496,799.598266601562,0,172.123596191406,251376336,4.21520233154297,0.906442821025848,437.997283935547,NA,NA,2.27511787414551,0.343276411294937,0.181582033634186,0.612760543823242,0.675304532051086,0.127161026000977,396.723815917969,17.1638126373291,6.497878074646,15.3190135955811,1.92944133281708,0.363317161798477,0.0388473458588123,0.606608927249908,0.260986566543579,3.88473463058472,NA,NA,200,0,325.448333740234,-401.397979736328,13.1007537841797,NA,111.188201904297,5.55940914154053,111.188209533691,5.55940961837769,10.0003309249878,0.0397965423762798,0.081171490252018,0.111091434955597,0.406195074319839,0.95409107208252,0.361507058143616,0.0507604107260704,0.313054084777832,0.406195074319839,0.000442627584561706,0.00118670403026044,0
"11",11,2.82886791229248,6.6981258392334,174049.71875,0.9382364153862,0,0,-0.00264954287558794,2.91424822807312,4.17938184738159,1.26513397693634,1.38403725624084,252697264,799.550109863281,0,162.085922241211,252697056,5.20031261444092,1.45154333114624,669.255310058594,NA,NA,2.77146744728088,0.388569712638855,0.209262698888779,0.644491374492645,1.01377058029175,0.172750949859619,623.020141601562,19.4284915924072,7.30430364608765,16.112283706665,2.89648795127869,0.49357408285141,0.0659956187009811,0.90814745426178,0.477400243282318,6.59956169128418,NA,NA,200,0,389.494354248047,-397.593200683594,16.0411262512207,NA,208.925750732422,10.4462852478027,208.925750732422,10.4462871551514,11.0003967285156,0.0508264452219009,0.0895155891776085,0.0855669900774956,0.553905069828033,2.8347475528717,0.8505579829216,0.112566687166691,0.311878263950348,0.553905069828033,0.000676527037285268,0.00145540223456919,0
