"","year","CAI","LAI","density","DBH","density12","DBH12","QMD","NPP","GPP","Rauto","Rh","rain","SoilWater","Transp","Evap","Runoff","plantC","soilC","plantN","soilN","totN","NSC","SeedC","leafC","rootC","SapwoodC","WoodC","NSN","SeedN","leafN","rootN","SapwoodN","WoodN","McrbC","fastSOM","SlowSOM","McrbN","fastSoilN","slowSoilN","mineralN","N_fxed","N_uptk","N_yrMin","N_P2S","N_loss","totseedC","totseedN","Seedling_C","Seedling_N","MaxAge","MaxVolume","MaxDBH","NPPL","NPPW","n_deadtrees","c_deadtrees","m_turnover","c_turnover_time","WDgrow","WDmort","WDrepr","WDkill"
"1",1,0.0144799835979939,0.037105493247509,320,2.07066321372986,0,0,1.31586038960364e-15,0.0170679073780775,0.0276161804795265,0.0105482842773199,0.00141333939973265,262665920,799.127258300781,0,355.381683349609,262665568,0.0308807734400034,0.00298352260142565,5.01392459869385,NA,NA,0.0133932307362556,0.00048363208770752,0.00324201583862305,0.00376563868485391,0.00697050336748362,0.00302575342357159,4.80054187774658,0.0241816211491823,0.0664990991353989,0.0941409096121788,0.0199157223105431,0.00864501018077135,9.53908820520155e-05,0.00238205119967461,0.000506080512423068,0.00953908823430538,NA,NA,200,0,4.42198276519775,-425.568878173828,0.105432495474815,NA,3.06379896239978e-38,6.67500333028899e-15,3.06379896239978e-38,5.11951984153329e-23,1.00000047683716,0.00258240639232099,0.0271802619099617,0.00384053960442543,0.00359625718556345,0,0,0,0.841361820697784,0.00359625718556345,1.58745006777711e-27,3.06379896239978e-41,1.65052874161327e-26
"2",2,0.0207390561699867,0.0499601922929287,497.389129638672,1.86792469024658,0,0,1.31586038960364e-15,0.0289419144392014,0.0400491431355476,0.0111072100698948,0.00433064764365554,245922848,799.118896484375,0,320.018493652344,245922416,0.052585806697607,0.00588975334540009,5.58314228057861,NA,NA,0.0267999954521656,0.00100588926579803,0.00317703420296311,0.00504289381206036,0.00877690594643354,0.00778308417648077,5.28477668762207,0.0502944439649582,0.0746851339936256,0.12607230246067,0.0250768754631281,0.0222373846918344,0.000231378886383027,0.00414527812972665,0.00151309662032872,0.0231378898024559,NA,NA,200,0,0.874510407447815,-413.899536132812,0.133744582533836,NA,0.386905640363693,0.019345298409462,0.386905640363693,0.019345298409462,1.99997925758362,0.00452298019081354,0.0340126492083073,0.000609823211561888,0.00698418077081442,0.00160637241788208,0.00169941887725145,0.000497826433274895,1.11438751220703,0.00698418077081442,2.00433646568854e-06,0,0
"3",3,0.0301788151264191,0.0812751054763794,749.386352539062,1.77753674983978,0,0,1.31586038960364e-15,0.0376343950629234,0.0561996176838875,0.018565209582448,0.00730999326333404,250191024,799.0947265625,0,349.512145996094,250190704,0.0788189917802811,0.00998096261173487,9.44822597503662,NA,NA,0.0372242592275143,0.00170784397050738,0.00511305686086416,0.00824689120054245,0.0158039983361959,0.0107229389250278,8.96006488800049,0.0853922143578529,0.120806001126766,0.206172183156013,0.0451542809605598,0.0306369699537754,0.000385298888431862,0.0067234062589705,0.00287225726060569,0.0385298877954483,NA,NA,200,0,4.36821937561035,-422.147888183594,0.202169492840767,NA,0.607150673866272,0.0303575228899717,0.607150673866272,0.0303575247526169,2.99995803833008,0.0082817105576396,0.0433245599269867,0.00282175140455365,0.0106071960180998,0.00515781622380018,0.00308781489729881,0.000761682051233947,1.01091170310974,0.0106071960180998,4.68532880404382e-06,0,0
"4",4,0.0446293242275715,0.131729871034622,1174.46594238281,1.68300414085388,0,0,1.31586038960364e-15,0.0590891279280186,0.0879058390855789,0.0288167111575603,0.0120924431830645,247552352,799.208435058594,0,341.236419677734,247551904,0.119229570031166,0.0165670663118362,8.48166656494141,NA,NA,0.0544763989746571,0.00293705333024263,0.00785898976027966,0.0133661888539791,0.0270059406757355,0.013585003092885,7.69423532485962,0.146852672100067,0.190448746085167,0.334154725074768,0.0771598294377327,0.0388142988085747,0.000631529139354825,0.0109005067497492,0.00503503158688545,0.0631529092788696,NA,NA,200,0,0.456656664609909,-425.149719238281,0.327162355184555,NA,1.05420506000519,0.0527102649211884,1.05420506000519,0.0527102611958981,3.99993681907654,0.0143417259678245,0.0539673790335655,0.00411741901189089,0.0151199651882052,0.0102022951468825,0.00524582201614976,0.00126679218374193,0.898481130599976,0.0151199651882052,9.77635500021279e-06,0,0
"5",5,0.0595984198153019,0.187435507774353,1858.67932128906,1.51932990550995,0,0,1.31586038960364e-15,0.0790974199771881,0.118059709668159,0.0389623269438744,0.0267843622714281,257427152,799.056518554688,0,330.720825195312,257426816,0.153051644563675,0.0350579917430878,13.6320753097534,NA,NA,0.0667012110352516,0.004152144305408,0.0111686745658517,0.0190184805542231,0.0357158519327641,0.016295287758112,12.5295896530151,0.207607209682465,0.270813941955566,0.475461572408676,0.102045282721519,0.0465579926967621,0.00129817635752261,0.0197474919259548,0.0140123227611184,0.129817634820938,NA,NA,200,0,8.49058437347412,-420.119537353516,0.457050561904907,NA,1.80814790725708,0.0904073789715767,1.80814790725708,0.0904073864221573,5.00000238418579,0.00606082379817963,0.038237314671278,0.00584146846085787,0.0188313852995634,0.0178900677710772,0.0044129453599453,0.000723571924027056,0.865326046943665,0.0188313852995634,1.83338997885585e-05,0,0
"6",6,0.0845342427492142,0.265938520431519,2646.09985351562,1.51397097110748,0,0,1.31586038960364e-15,0.118471458554268,0.173575595021248,0.0551041401922703,0.0347762666642666,265547712,798.985168457031,0,329.618377685547,265547408,0.22387757897377,0.0479271337389946,23.2575588226318,NA,NA,0.100593484938145,0.00839624553918839,0.0144288456067443,0.0269829127937555,0.0512170381844044,0.0222590640187263,21.5867233276367,0.419812172651291,0.366518408060074,0.674572229385376,0.146334379911423,0.0635973289608955,0.0017441394738853,0.0264912955462933,0.0196916963905096,0.174413949251175,NA,NA,200,0,14.3609638214111,-421.152160644531,0.663055419921875,NA,2.38131785392761,0.119065880775452,2.38131785392761,0.11906586587429,6.00006818771362,0.00822090823203325,0.0431955903768539,0.00637265667319298,0.0251880716532469,0.0304190330207348,0.00736503954976797,0.00121573777869344,0.883714497089386,0.0251880716532469,3.26822773786262e-05,0,0
"7",7,0.126442387700081,0.392982691526413,4422.40576171875,1.39540326595306,0,0,1.31586038960364e-15,0.168080925941467,0.249177113175392,0.0810962319374084,0.0507867820560932,247765824,799.2509765625,0,318.924652099609,247765552,0.319515079259872,0.0695838257670403,29.0042152404785,NA,NA,0.142533957958221,0.0128587894141674,0.0194407049566507,0.039871834218502,0.0740736648440361,0.0307361204177141,26.5469245910645,0.642939388751984,0.518098056316376,0.996795237064362,0.211639016866684,0.0878175273537636,0.00253967428579926,0.0388391651213169,0.0282049849629402,0.25396740436554,NA,NA,200,0,13.3505086898804,-419.644165039062,0.952782034873962,NA,5.82524681091309,0.291262269020081,5.82524681091309,0.291262298822403,7.00013399124146,0.0110699348151684,0.0486549399793148,0.00917188357561827,0.0369129106402397,0.0450471639633179,0.0124221164733171,0.00200756615959108,0.832665860652924,0.0369129106402397,5.39181564818136e-05,0.000353610201273113,0
"8",8,0.185761392116547,0.572401285171509,7056.8759765625,1.32403707504272,0,0,1.31586038960364e-15,0.239259168505669,0.356259971857071,0.117000713944435,0.0784697681665421,244307872,799.264282226562,0,325.189758300781,244307520,0.447074443101883,0.102813839912415,46.1108703613281,NA,NA,0.197752550244331,0.0192142315208912,0.0263195056468248,0.0580741167068481,0.10399766266346,0.041716355830431,42.552303314209,0.960711479187012,0.729676067829132,1.45185232162476,0.297136127948761,0.119189649820328,0.00379125052131712,0.0570701286196709,0.0419524572789669,0.37912505865097,NA,NA,200,0,29.2365703582764,-428.727569580078,1.35909056663513,NA,8.62752914428711,0.431376308202744,8.62752914428711,0.431376308202744,8.00019931793213,0.0145609332248569,0.0542927384376526,0.0127006741240621,0.050833385437727,0.0712229162454605,0.0193002074956894,0.00321911671198905,0.820648789405823,0.050833385437727,8.76224585226737e-05,0.000464792712591588,0
"9",9,0.272469013929367,0.836133658885956,10976.6943359375,1.28442573547363,0,0,1.31586038960364e-15,0.34632420539856,0.512964069843292,0.166639998555183,0.1179124340415,245569552,799.523803710938,0,292.668548583984,245569216,0.622799515724182,0.155500054359436,103.595191955566,NA,NA,0.273840993642807,0.028427517041564,0.0361843258142471,0.0848300009965897,0.143571674823761,0.0559450164437294,98.4454193115234,1.42137598991394,1.03759956359863,2.12074875831604,0.410204768180847,0.159842923283577,0.00577161833643913,0.0861003249883652,0.0636280998587608,0.577161848545074,NA,NA,200,0,74.9041442871094,-419.78955078125,1.94545590877533,NA,12.6917991638184,0.634590029716492,12.6917991638184,0.634590029716492,9.00026512145996,0.0187906622886658,0.0601229928433895,0.0181116219609976,0.0704157426953316,0.110770493745804,0.0283459015190601,0.00469909934327006,0.79449588060379,0.0704157426953316,0.000136930393637158,0.00057032669428736,0
"10",10,0.41637310385704,1.27903008460999,16751.75390625,1.29670357704163,0,0,1.31586038960364e-15,0.549978137016296,0.800741195678711,0.250763118267059,0.169839531183243,251376496,799.521728515625,0,259.4267578125,251376128,0.925811409950256,0.232626751065254,93.761962890625,NA,NA,0.418462783098221,0.0442608445882797,0.0519667491316795,0.129761680960655,0.2066730260849,0.0746863707900047,85.9560852050781,2.21304249763489,1.54490768909454,3.24404144287109,0.590494394302368,0.213389620184898,0.00860225223004818,0.130784943699837,0.0932395607233047,0.860225260257721,NA,NA,200,0,23.3047466278076,-408.890106201172,2.933349609375,NA,18.3400096893311,0.917000651359558,18.3400096893311,0.917000710964203,10.0003309249878,0.0239441283047199,0.0662430673837662,0.0269662719219923,0.104689478874207,0.174844712018967,0.0450506061315536,0.00749316345900297,0.713408589363098,0.104689478874207,0.000207411372684874,0.000691255496349186,0
